time,epoch,batch,loss,cost
0min5sec,0,0,-2.546,13.902
0min33sec,0,10,23.337,12.278
0min29sec,0,20,19.529,11.433
0min31sec,0,30,15.594,10.814
0min29sec,0,40,12.749,10.341
0min30sec,0,50,10.689,9.970
0min33sec,0,60,9.034,9.695
0min28sec,0,70,7.800,9.477
0min27sec,0,80,6.860,9.303
0min27sec,0,90,6.095,9.164
0min34sec,0,100,5.487,9.048
0min33sec,0,110,5.020,8.947
0min27sec,0,120,4.598,8.861
0min27sec,0,130,4.232,8.786
0min27sec,0,140,3.939,8.717
0min26sec,0,150,3.680,8.654
0min26sec,0,160,3.443,8.597
0min27sec,0,170,3.238,8.545
0min26sec,0,180,3.068,8.496
0min27sec,0,190,2.911,8.452
0min27sec,0,200,2.770,8.411
0min26sec,0,210,2.633,8.373
0min27sec,0,220,2.504,8.340
0min28sec,0,230,2.397,8.309
0min27sec,0,240,2.295,8.280
0min26sec,0,250,2.211,8.252
0min27sec,0,260,2.117,8.226
0min27sec,0,270,2.043,8.202
0min26sec,0,280,1.968,8.179
0min26sec,0,290,1.898,8.157
0min25sec,0,300,1.836,8.136
0min26sec,0,310,1.774,8.115
0min26sec,0,320,1.703,8.096
0min27sec,0,330,1.645,8.080
0min26sec,0,340,1.601,8.063
0min25sec,0,350,1.549,8.048
0min25sec,0,360,1.508,8.033
0min25sec,0,370,1.460,8.018
0min26sec,0,380,1.418,8.004
0min26sec,0,390,1.374,7.991
0min25sec,0,400,1.332,7.979
0min27sec,0,410,1.300,7.967
0min26sec,0,420,1.267,7.956
0min26sec,0,430,1.238,7.945
0min26sec,0,440,1.201,7.935
0min26sec,0,450,1.175,7.925
0min26sec,0,460,1.149,7.914
0min27sec,0,470,1.120,7.904
0min28sec,0,480,1.091,7.894
0min26sec,0,490,1.068,7.885
0min26sec,0,500,1.047,7.876
0min27sec,0,510,1.022,7.868
0min25sec,0,520,1.001,7.859
0min26sec,0,530,0.980,7.851
0min26sec,0,540,0.962,7.843
0min26sec,0,550,0.946,7.836
0min26sec,0,560,0.932,7.827
0min26sec,0,570,0.916,7.820
0min25sec,0,580,0.900,7.812
0min26sec,0,590,0.878,7.805
0min25sec,0,600,0.860,7.798
0min25sec,0,610,0.846,7.791
0min25sec,0,620,0.828,7.784
0min25sec,0,630,0.815,7.777
0min25sec,0,640,0.801,7.770
0min26sec,0,650,0.786,7.764
0min25sec,0,660,0.774,7.758
0min26sec,0,670,0.763,7.751
0min25sec,0,680,0.753,7.745
0min25sec,0,690,0.739,7.739
0min25sec,0,700,0.727,7.733
0min25sec,0,710,0.717,7.728
0min25sec,0,720,0.705,7.722
0min25sec,0,730,0.698,7.716
0min25sec,0,740,0.688,7.710
0min26sec,0,750,0.679,7.705
0min25sec,0,760,0.670,7.699
0min25sec,0,770,0.661,7.694
0min26sec,0,780,0.650,7.688
